,price,area_total,area_util,quarto,banheiro,vaga,bairro
0,R$ 2.450.000,489 m² área total,217 m² área útil,4 Quartos,6 Banheiros,5 Vagas,<span> Campo Belo
1,R$ 2.250.000,115 m² área total,115 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
2,R$ 770.000,41 m² área total,41 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
3,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
4,R$ 2.070.000,173 m² área total,173 m² área útil,4 Quartos,6 Banheiros,4 Vagas,<span> Perdizes
5,R$ 170.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campo Belo
6,R$ 290.000,120 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
7,R$ 540.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Itaim Bibi
8,R$ 1.010.000,95 m² área total,95 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Cerqueira César
9,R$ 1.200.000,120 m² área total,120 m² área útil,3 Quartos,2 Banheiros,3 Vagas,<span> Vila Clementino
10,R$ 260.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
11,R$ 636.000,41 m² área total,41 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
12,R$ 400.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
13,R$ 1.380.000,76 m² área total,76 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Bela Vista
14,R$ 1.450.000,120 m² área total,103 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Itaim Bibi
15,R$ 7.000.000,490 m² área total,394 m² área útil,4 Quartos,7 Banheiros,5 Vagas,<span> Jardim Guedala
16,R$ 200.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin Paulista
17,R$ 2.950.000,350 m² área total,225 m² área útil,3 Quartos,2 Banheiros,1 Vaga,<span> Indian
18,R$ 1.170.000,157 m² área total,110 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Pompéia
19,R$ 3.400.000,300 m² área total,157 m² área útil,2 Quartos,3 Banheiros,3 Vagas,<span> Vila Nova Conceição
20,R$ 230.000,29 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Campo Belo
21,R$ 9.000.000,516 m² área total,367 m² área útil,4 Quartos,5 Banheiros,6 Vagas,<span> Jardim Paulista
22,R$ 1.250.000,184 m² área total,184 m² área útil,3 Quartos,5 Banheiros,4 Vagas,<span> Agua Fria
23,R$ 1.200.000,67 m² área total,67 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Paulista
24,R$ 990.000,176 m² área total,64 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Madalena
25,R$ 1.380.000,126 m² área total,126 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Barra Funda
26,R$ 300.000,50 m² área total,37 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> República
27,R$ 695.000,94 m² área total,94 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Jardim Marajoara
28,R$ 355.000,80 m² área total,56 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Guarani
29,R$ 310.000,34 m² área total,34 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin Paulista
30,R$ 220.000,22 m² área total,22 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Centro
31,R$ 220.000,27 m² área total,27 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Morumbi
32,R$ 495.000,90 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Agua Branca
33,R$ 1.248.000,104 m² área total,104 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Vila Mariana
34,R$ 220.000,23 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
35,R$ 1.100.000,202 m² área total,108 m² área útil,4 Quartos,4 Banheiros,2 Vagas,<span> Pompéia
36,R$ 170.000,50 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Mariana
37,R$ 1.800.000,154 m² área total,154 m² área útil,3 Quartos,3 Banheiros,3 Vagas,<span> Campo Belo
38,R$ 740.000,106 m² área total,76 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Pompéia
39,R$ 1.200.000,67 m² área total,67 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardins
40,R$ 1.200.000,183 m² área total,92 m² área útil,3 Quartos,4 Banheiros,2 Vagas,<span> Perdizes
41,R$ 455.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
42,R$ 320.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
43,R$ 1.380.000,129 m² área total,129 m² área útil,3 Quartos,5 Banheiros,2 Vagas,<span> Vila Leopoldina
44,R$ 1.278.000,128 m² área total,128 m² área útil,4 Quartos,5 Banheiros,2 Vagas,<span> Perdizes
45,R$ 2.883.000,380 m² área total,225 m² área útil,4 Quartos,5 Banheiros,5 Vagas,<span> Perdizes
46,R$ 525.000,18 m² área total,18 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
47,R$ 480.000,70 m² área total,70 m² área útil,2 Quartos,2 Banheiros,1 Vaga,<span> Pinheiros
48,R$ 1.240.000,150 m² área total,150 m² área útil,3 Quartos,5 Banheiros,2 Vagas,<span> Jardim das Vertentes
49,R$ 710.000,90 m² área total,75 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
50,R$ 290.000,60 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
51,R$ 1.270.000,62 m² área total,62 m² área útil,1 Quarto,1 Banheiro,2 Vagas,<span> Vila Olímpia
52,R$ 790.000,120 m² área total,120 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Brooklin
53,R$ 980.000,72 m² área total,72 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Moema
54,R$ 2.650.000,227 m² área total,227 m² área útil,4 Quartos,5 Banheiros,4 Vagas,<span> Perdizes
